contractId,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
2026032404011174,HURJA,,,22,297.9,6553.8,2026-03-24,182583611,2824,,,2026-03-24T11:49:35.280393,Himalaya Urja Bikas Company Limited
2026032404011173,HURJA,,,15,297.9,4468.5,2026-03-24,182583608,2824,,,2026-03-24T11:49:35.280112,Himalaya Urja Bikas Company Limited
2026032403003127,MNBBL,,,10,406.5,4065,2026-03-24,182583607,474,,,2026-03-24T11:49:35.16783,Muktinath Bikas Bank Ltd.
2026032404011172,API,,,50,361,18050,2026-03-24,182583605,697,,,2026-03-24T11:49:34.898654,Api Power Company Ltd.
2026032405008231,HDL,,,48,1252,60096,2026-03-24,182583602,235,,,2026-03-24T11:49:34.747197,Himalayan Distillery Limited
2026032401008391,TTL,,,10,930.1,9301,2026-03-24,182583601,9262,,,2026-03-24T11:49:34.307153,Trade Tower Limited
2026032401008390,DHEL,,,70,705,49350,2026-03-24,182583598,9293,,,2026-03-24T11:49:34.25405,Daramkhola Hydro Energy Limited
2026032404011171,HDHPC,,,972,264.7,257288.4,2026-03-24,182583597,2880,,,2026-03-24T11:49:34.001749,Himal Dolakha Hydropower Company Limited
2026032404011170,HDHPC,,,900,264,237600,2026-03-24,182583594,2880,,,2026-03-24T11:49:34.001702,Himal Dolakha Hydropower Company Limited
2026032404011169,HDHPC,,,128,263.5,33728,2026-03-24,182583592,2880,,,2026-03-24T11:49:34.00165,Himal Dolakha Hydropower Company Limited
2026032405008230,SIKLES,,,20,646.6,12932,2026-03-24,182583591,8126,,,2026-03-24T11:49:33.787542,Sikles Hydropower Limited
2026032405008229,NTC,,,10,915,9150,2026-03-24,182583589,307,,,2026-03-24T11:49:33.505554,Nepal Doorsanchar Company Limited
2026032404011168,HDHPC,,,50,263.5,13175,2026-03-24,182583587,2880,,,2026-03-24T11:49:33.063063,Himal Dolakha Hydropower Company Limited
2026032401008389,NABIL,,,10,545,5450,2026-03-24,182583585,131,,,2026-03-24T11:49:32.745842,Nabil Bank Limited
2026032405008228,NYADI,,,10,455,4550,2026-03-24,182583583,8026,,,2026-03-24T11:49:32.735308,Nyadi Hydropower Limited
2026032404011167,NHPC,,,10,305.1,3051,2026-03-24,182583580,152,,,2026-03-24T11:49:32.429481,National Hydro Power Company Limited
2026032404011166,GHL,,,500,277.8,138900,2026-03-24,182583579,2806,,,2026-03-24T11:49:32.419232,Ghalemdi Hydro Limited
2026032404011165,AKJCL,,,1500,417,625500,2026-03-24,182583576,2788,,,2026-03-24T11:49:32.364266,Ankhu Khola Jalvidhyut Company Ltd
2026032404011164,NGPL,,,51,499,25449,2026-03-24,182583575,2743,,,2026-03-24T11:49:31.773844,Ngadi Group Power Ltd.
2026032404011163,NGPL,,,1260,499,628740,2026-03-24,182583572,2743,,,2026-03-24T11:49:31.773594,Ngadi Group Power Ltd.
2026032404011162,NGPL,,,50,498.9,24945,2026-03-24,182583570,2743,,,2026-03-24T11:49:31.77334,Ngadi Group Power Ltd.
2026032404011161,NGPL,,,52,498.9,25942.8,2026-03-24,182583568,2743,,,2026-03-24T11:49:31.773087,Ngadi Group Power Ltd.
2026032404011160,NGPL,,,800,498.9,399120,2026-03-24,182583566,2743,,,2026-03-24T11:49:31.772795,Ngadi Group Power Ltd.
2026032404011159,NGPL,,,25,498.9,12472.5,2026-03-24,182583564,2743,,,2026-03-24T11:49:31.772535,Ngadi Group Power Ltd.
2026032404011158,NGPL,,,500,498.7,249350,2026-03-24,182583562,2743,,,2026-03-24T11:49:31.77226,Ngadi Group Power Ltd.
2026032404011157,NGPL,,,475,498.6,236835,2026-03-24,182583560,2743,,,2026-03-24T11:49:31.772005,Ngadi Group Power Ltd.
2026032404011156,NGPL,,,500,498.5,249250,2026-03-24,182583558,2743,,,2026-03-24T11:49:31.771756,Ngadi Group Power Ltd.
2026032404011155,NGPL,,,261,498.5,130108.5,2026-03-24,182583556,2743,,,2026-03-24T11:49:31.771491,Ngadi Group Power Ltd.
2026032404011154,NGPL,,,23,498,11454,2026-03-24,182583554,2743,,,2026-03-24T11:49:31.771214,Ngadi Group Power Ltd.
2026032404011153,NGPL,,,500,498,249000,2026-03-24,182583552,2743,,,2026-03-24T11:49:31.770869,Ngadi Group Power Ltd.
2026032404011152,NGPL,,,76,498,37848,2026-03-24,182583550,2743,,,2026-03-24T11:49:31.770434,Ngadi Group Power Ltd.
2026032404011151,NGPL,,,100,498,49800,2026-03-24,182583548,2743,,,2026-03-24T11:49:31.770014,Ngadi Group Power Ltd.
2026032404011150,NGPL,,,13,498,6474,2026-03-24,182583546,2743,,,2026-03-24T11:49:31.769539,Ngadi Group Power Ltd.
2026032404011149,NGPL,,,314,497.9,156340.6,2026-03-24,182583544,2743,,,2026-03-24T11:49:31.768987,Ngadi Group Power Ltd.
2026032404011148,AKPL,,,1115,308.9,344423.5,2026-03-24,182583542,2757,,,2026-03-24T11:49:31.396195,Arun Kabeli Power Ltd.
2026032405008227,ULHC,,,10,552,5520,2026-03-24,182583540,9208,,,2026-03-24T11:49:31.240294,Upper Lohore Khola Hydropower Company Limited
2026032405008226,SPHL,,,10,573,5730,2026-03-24,182583538,8121,,,2026-03-24T11:49:31.115573,Sayapatri Hydropower Limited
2026032405008225,SHIVM,,,200,720,144000,2026-03-24,182583537,2809,,,2026-03-24T11:49:31.098586,SHIVAM CEMENTS LTD
2026032404011147,UNHPL,,,520,538,279760,2026-03-24,182583535,2831,,,2026-03-24T11:49:30.531507,Union Hydropower Limited
2026032404011146,SJCL,,,750,358,268500,2026-03-24,182583532,2842,,,2026-03-24T11:49:30.392773,SANJEN JALAVIDHYUT COMPANY LIMITED
2026032404011145,DHPL,,,250,330,82500,2026-03-24,182583531,2754,,,2026-03-24T11:49:29.854091,Dibyashwori Hydropower Ltd.
2026032401008388,SBL,,,107,410.1,43880.7,2026-03-24,182583528,145,,,2026-03-24T11:49:29.79233,Siddhartha Bank Limited
2026032404011144,API,,,40,360.8,14432,2026-03-24,182583526,697,,,2026-03-24T11:49:29.751058,Api Power Company Ltd.
2026032404011143,API,,,20,360.9,7218,2026-03-24,182583525,697,,,2026-03-24T11:49:29.75013,Api Power Company Ltd.
2026032404011142,SHL,,,102,526,53652,2026-03-24,182583522,147,,,2026-03-24T11:49:29.712218,Soaltee Hotel Limited
2026032404011141,UMRH,,,250,585,146250,2026-03-24,182583521,2914,,,2026-03-24T11:49:29.709753,United IDI Mardi RB Hydropower Limited.
2026032404011140,SSHL,,,10,242.5,2425,2026-03-24,182583516,2907,,,2026-03-24T11:49:29.604251,Shiva Shree Hydropower Ltd
2026032403003126,PFL,,,40,431,17240,2026-03-24,182583518,236,,,2026-03-24T11:49:29.600892,Pokhara Finance Ltd.
2026032403003125,PFL,,,500,431.1,215550,2026-03-24,182583517,236,,,2026-03-24T11:49:29.600868,Pokhara Finance Ltd.
2026032403003124,PFL,,,100,432,43200,2026-03-24,182583513,236,,,2026-03-24T11:49:29.600843,Pokhara Finance Ltd.
2026032403003123,PFL,,,360,433,155880,2026-03-24,182583511,236,,,2026-03-24T11:49:29.600802,Pokhara Finance Ltd.
2026032401008387,SOHL,,,10,584.5,5845,2026-03-24,182583508,9311,,,2026-03-24T11:49:29.458419,Solu Hydropower Limited
2026032404011139,AKPL,,,150,308.9,46335,2026-03-24,182583507,2757,,,2026-03-24T11:49:29.42993,Arun Kabeli Power Ltd.
